season,homeTeam,awayTeam,winnerName,loserName,matchScore,goalsHome,goalsAway,matchDuration
2020,Fulham FC,Arsenal FC,Arsenal FC,Fulham FC,AWAY_TEAM,0.0,3.0,REGULAR
2020,Crystal Palace FC,Southampton FC,Crystal Palace FC,Southampton FC,HOME_TEAM,1.0,0.0,REGULAR
2020,Liverpool FC,Leeds United FC,Liverpool FC,Leeds United FC,HOME_TEAM,4.0,3.0,REGULAR
2020,West Ham United FC,Newcastle United FC,Newcastle United FC,West Ham United FC,AWAY_TEAM,0.0,2.0,REGULAR
2020,West Bromwich Albion FC,Leicester City FC,Leicester City FC,West Bromwich Albion FC,AWAY_TEAM,0.0,3.0,REGULAR
2020,Tottenham Hotspur FC,Everton FC,Everton FC,Tottenham Hotspur FC,AWAY_TEAM,0.0,1.0,REGULAR
2020,Sheffield United FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Sheffield United FC,AWAY_TEAM,0.0,2.0,REGULAR
2020,Brighton & Hove Albion FC,Chelsea FC,Chelsea FC,Brighton & Hove Albion FC,AWAY_TEAM,1.0,3.0,REGULAR
2020,Everton FC,West Bromwich Albion FC,Everton FC,West Bromwich Albion FC,HOME_TEAM,5.0,2.0,REGULAR
2020,Leeds United FC,Fulham FC,Leeds United FC,Fulham FC,HOME_TEAM,4.0,3.0,REGULAR
2020,Manchester United FC,Crystal Palace FC,Crystal Palace FC,Manchester United FC,AWAY_TEAM,1.0,3.0,REGULAR
2020,Arsenal FC,West Ham United FC,Arsenal FC,West Ham United FC,HOME_TEAM,2.0,1.0,REGULAR
2020,Southampton FC,Tottenham Hotspur FC,Tottenham Hotspur FC,Southampton FC,AWAY_TEAM,2.0,5.0,REGULAR
2020,Newcastle United FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Newcastle United FC,AWAY_TEAM,0.0,3.0,REGULAR
2020,Chelsea FC,Liverpool FC,Liverpool FC,Chelsea FC,AWAY_TEAM,0.0,2.0,REGULAR
2020,Leicester City FC,Burnley FC,Leicester City FC,Burnley FC,HOME_TEAM,4.0,2.0,REGULAR
2020,Aston Villa FC,Sheffield United FC,Aston Villa FC,Sheffield United FC,HOME_TEAM,1.0,0.0,REGULAR
2020,Wolverhampton Wanderers FC,Manchester City FC,Manchester City FC,Wolverhampton Wanderers FC,AWAY_TEAM,1.0,3.0,REGULAR
2020,Brighton & Hove Albion FC,Manchester United FC,Manchester United FC,Brighton & Hove Albion FC,AWAY_TEAM,2.0,3.0,REGULAR
2020,Crystal Palace FC,Everton FC,Everton FC,Crystal Palace FC,AWAY_TEAM,1.0,2.0,REGULAR
2020,West Bromwich Albion FC,Chelsea FC,Draw,Draw,DRAW,3.0,3.0,REGULAR
2020,Burnley FC,Southampton FC,Southampton FC,Burnley FC,AWAY_TEAM,0.0,1.0,REGULAR
2020,Sheffield United FC,Leeds United FC,Leeds United FC,Sheffield United FC,AWAY_TEAM,0.0,1.0,REGULAR
2020,Tottenham Hotspur FC,Newcastle United FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2020,Manchester City FC,Leicester City FC,Leicester City FC,Manchester City FC,AWAY_TEAM,2.0,5.0,REGULAR
2020,West Ham United FC,Wolverhampton Wanderers FC,West Ham United FC,Wolverhampton Wanderers FC,HOME_TEAM,4.0,0.0,REGULAR
2020,Fulham FC,Aston Villa FC,Aston Villa FC,Fulham FC,AWAY_TEAM,0.0,3.0,REGULAR
2020,Liverpool FC,Arsenal FC,Liverpool FC,Arsenal FC,HOME_TEAM,3.0,1.0,REGULAR
